Id,DimMeasurementId,Axis,Measurement,Nominal,PositiveTolerance,NegativeTolerance,Bonus,Deviation,OutTolerance,OutToleranceBar,PlanId,PartNo,PlanProductId,Type,IdSymbol,WarningLimitCf,FeatureId,FeatureSigma,Comment,Link,LinkMode,Mmc,UserUpperTol,UserLowerTol,Fftphi,FftphiUnit,ZoneRoundnessAngle,GroupName,GroupName2,DatumAid,DatumBid,DatumCid,NatUpperTolId,NatLowerTolId,DecimalPlaces,FeaturePosX,FeaturePosY,FeaturePosZ,Unit,Confirmation,CreatedDate,UpdatedDate
153f71ce-1716-4d44-b7e0-b21e614b4594,fb59d7d6-e70c-4e3d-aee7-1946a3bd315f,,0.0608998,0.0,0.05,0.0,,0.0608998,0.010899799999999994,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 09:44:03.38012,2022-01-18 09:44:03.38012
2d27557f-ded9-4933-8282-e7b4c62d000f,55d91a3d-f663-4a8a-8a2f-90cc327f25aa,,0.0151148,0.0,0.015,0.0,,0.0151148,0.00011479999999999997,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:44:03.38012,2022-01-18 09:44:03.38012
8d475eec-9dd1-42ee-bc96-02391f960593,b3136183-9b02-4acb-81fa-df0077a70ec6,,0.0156407,0.0,0.015,0.0,,0.0156407,0.000640700000000001,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:44:03.38012,2022-01-18 09:44:03.38012
efc81067-e39c-4376-b1c3-acc02cc6bedb,5e75e754-a29d-49a2-841c-3eb8aa0493a9,,0.059604,0.0,0.05,0.0,,0.059604,0.009603999999999994,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:44:03.38012,2022-01-18 09:44:03.38012
9afbbcb5-96f7-4ed9-b28c-cf9d779ab5e2,b4d228a2-3480-4dd3-a4d1-63d39efb6c90,,0.0608998,0.0,0.05,0.0,,0.0608998,0.010899799999999994,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 09:54:33.977374,2022-01-18 09:54:33.977374
9f02d47b-3d49-40a3-acf7-d9eb6b545e7e,5cb32ea4-f694-4167-abf9-eb3e3639e1be,,0.0156407,0.0,0.015,0.0,,0.0156407,0.000640700000000001,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:54:33.977374,2022-01-18 09:54:33.977374
d83e4232-dd5a-454c-92f1-e0b322efef02,088374cf-5c02-4465-8be4-44c47e4232dd,,0.0151148,0.0,0.015,0.0,,0.0151148,0.00011479999999999997,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:54:33.977374,2022-01-18 09:54:33.977374
f4fac72f-764e-480a-ac72-726db0bbc55a,039521f4-90a0-48fa-9fdb-6778550b5f38,,0.059604,0.0,0.05,0.0,,0.059604,0.009603999999999994,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:54:33.977374,2022-01-18 09:54:33.977374
48d6da8b-8f06-408d-872f-a70bf7439c44,9b8ba4ce-bd62-4257-9cc8-b649ec27e52a,,0.0565728,0.0,0.05,0.0,,0.0565728,0.006572799999999997,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:59:20.427149,2022-01-18 09:59:20.427149
a4076b4d-82c4-4ab3-80e0-cee216d6f001,e2f0da15-cac8-4790-b26c-8787c5c5732b,,-1.573.389.782,-157.4,0.05,-0.05,,0.0610218,0.011021799999999998,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 09:59:24.480069,2022-01-18 09:59:24.480069
b7f97d57-4a06-4099-9357-eab865dde663,c8f0dfb1-4fd8-4497-8052-1409b65063ec,,-1.573.389.799,-157.4,0.05,-0.05,,0.0610201,0.011020099999999998,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 09:59:24.480069,2022-01-18 09:59:24.480069
f67c6b1c-06cd-415b-a3ab-5c27603fcd14,f1892250-b258-4bf9-bf17-40ecf97e7fd9,,0.0506535,0.0,0.05,0.0,,0.0506535,0.0006534999999999944,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:59:26.510109,2022-01-18 09:59:26.510109
547316cf-a2dd-4cfe-b0d4-3f16aebf821f,867f3da0-4838-4d55-b5f3-0460c51b6de7,,0.0666024,0.0,0.05,0.0,,0.0666024,0.016602400000000003,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 09:59:28.543275,2022-01-18 09:59:28.543275
574005f5-7f6f-434e-b799-0d64d656d7ff,3be49532-832e-4da7-a8ea-3ec18e9e2559,,0.0619221,0.0,0.05,0.0,,0.0619221,0.011922099999999998,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 09:59:28.543275,2022-01-18 09:59:28.543275
b89c6d59-f0e6-479f-8c21-9057abb8b73f,95a70bda-b9f8-4cfe-8925-1f6568915580,,-0.3010252,0.0,0.25,-0.25,,-0.3010252,0.05102519999999999,<----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 09:59:32.613747,2022-01-18 09:59:32.613747
57450475-196f-4c3d-ae3c-d6eaafc16b38,13a84f2e-2aea-4268-91fa-74a252daa072,,0.0123328,0.0,0.012,0.0,,0.0123328,0.0003327999999999994,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:59:36.71948,2022-01-18 09:59:36.71948
71778e75-2564-482c-9dad-2d2648fe2abc,f31c8eb0-2eb1-4460-812c-4cc19c75222d,,0.0128437,0.0,0.012,0.0,,0.0128437,0.0008436999999999993,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:59:36.71948,2022-01-18 09:59:36.71948
b9df5b4c-51bb-49dc-b193-1b583ab83a05,aeb94c85-9e1a-4845-b472-5341df9c1dec,,0.01609,0.0,0.015,0.0,,0.01609,0.0010900000000000007,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:59:36.71948,2022-01-18 09:59:36.71948
c357b7d1-9ced-4c23-acb0-3e22c8840f36,2a6b92b0-39a4-47d7-8f0c-f6cbe25ae16c,,0.0160818,0.0,0.015,0.0,,0.0160818,0.0010818000000000008,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:59:36.71948,2022-01-18 09:59:36.71948
9467050a-83df-4dd5-b916-ffaefd817099,f45e76ad-1031-4b60-82be-1a79fdcef915,,0.0125652,0.0,0.012,0.0,,0.0125652,0.0005652000000000001,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 09:59:42.832971,2022-01-18 09:59:42.832971
b50facff-28bf-471b-ac27-7c5ebb08a4ff,59f578b7-e7a6-4eaa-95dd-202fb53596d9,,103.713.715,10.45,0.05,-0.05,,-0.0786285,0.0286285,<----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 09:59:44.864525,2022-01-18 09:59:44.864525
8f1d0663-ae91-442d-adc1-fb218b539083,be2e5ca6-5607-458e-a309-996f6657ec5e,,0.0137135,0.0,0.012,0.0,,0.0137135,0.0017134999999999997,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:59:50.952989,2022-01-18 09:59:50.952989
4f0b0992-e1fe-45cd-b560-e294bec9f75f,1e6a590f-00ed-41b6-b038-ca514005d065,,0.0507042,0.0,0.05,0.0,,0.0507042,0.0007041999999999951,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:59:55.029683,2022-01-18 09:59:55.029683
