Id,DateAndTime,documentType,PartName,RevisionNo,SerialNo,StatsCount,ReportNo,OperationNo,ResRevNo,Cmm,Instructions,BenchName,Confirmation,ConfirmingUserId,Operator,Measurer,Shift,StandNo,MaterialCode,MeasurementPlan,Order,DrawingNo,CreatedDate,UpdatedDate
e49ccee3-dc5b-4374-a333-fa819bc44cb7,2021-12-01 17:44:34+03,xls,B 5001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T21-49-1-19,911 9060 175,44:03.4,44:03.4
f9772ccb-d747-4156-aa85-ac1b9d6e2152,2021-12-01 17:44:34+03,xls,B 5001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T21-49-1-19,911 9060 175,54:34.0,54:34.0
5fbb77fa-834d-4e2c-a8c3-14f697eb0500,2022-01-03 19:38:58+03,xls,B 5002,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-3-10,412 3520 165,59:18.4,59:18.4
6a7d4179-8372-4e13-bec2-b94840660855,2022-01-03 20:35:20+03,xls,B 5002,,,,,{},{},,Calypso Measuring Result,T-1,1,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-2-10,412 3520 165,59:20.4,59:20.4
9949c2b8-d9d2-4f5d-be96-c990ea7ba4bc,2022-01-03 21:09:38+03,xls,B 5004,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-1-10,412 3520 165,59:22.5,59:22.5
f3cfd128-acdf-48a6-bb76-4f73a80e0982,2022-01-03 21:41:55+03,xls,B 5005,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-4-10,412 3520 165,59:24.5,59:24.5
50069717-4dc2-4353-848d-6dddd8cc15e9,2022-01-04 01:58:56+03,xls,B 5005,,,,,{},{},,Calypso Measuring Result,T-1,1,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-1-19,412 3520 165,59:26.5,59:26.5
11cb44a2-ee6d-4ac0-9934-d16958e4e471,2022-01-04 02:16:40+03,xls,B 5005,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-2-19,412 3520 165,59:28.5,59:28.5
a22795d8-0062-4a6a-8b42-d9f1b633a657,2022-01-04 02:55:22+03,xls,B 5006,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-3-19,412 3520 165,59:30.6,59:30.6
689114a9-e90f-4ab0-aa0d-754c8c716185,2022-01-04 03:09:03+03,xls,B 5006,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-4-19,412 3520 165,59:32.6,59:32.6
a33b1a86-4b12-4808-ade1-ffefe9940875,2022-01-04 14:04:08+03,xls,B 5007,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,001-0521-00 DUZLEMSELLIK,C 115 2,001 0521 00,59:34.7,59:34.7
40d8c4e7-5591-4fc7-8a30-6a7655b354de,2022-01-05 02:28:22+03,xls,B 5007,,,,,{},{},,Calypso Measuring Result,T-1,1,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-1-10,911 9060 175,59:36.7,59:36.7
